file_path,split_group,class,prefix
../data/raw\train\angry\Training_11666709.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11713762.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1173634.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11745938.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11749309.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11769417.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11769870.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11770015.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11808005.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11820572.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1184435.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11860503.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11888118.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11917747.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1193977.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11940623.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11947615.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11954904.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11983206.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11990539.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12006812.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12017013.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12037449.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12045034.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12075336.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12091917.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12095508.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12095988.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12148960.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12155031.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12168970.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12172696.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12175445.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12216843.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12250673.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12295489.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12383687.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12391352.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12407292.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12409483.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12450586.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12469031.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12513174.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12524483.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12565431.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12604769.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12661221.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12675274.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12686673.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12695814.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12776681.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12812647.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12837353.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12861782.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12890896.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1294170.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12961021.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_12974019.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13039915.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13040296.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13043913.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13064272.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13145953.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13196511.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13202061.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13221971.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13282534.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1329550.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13304793.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13325591.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13489272.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13521344.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13605605.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13607820.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13644751.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13659242.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13677471.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13689420.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13742442.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13772540.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13782684.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13790669.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13852029.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13874420.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13898081.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13917123.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13919685.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13965818.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13976691.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13994952.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_13997003.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14051560.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14054767.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14056996.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1409194.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14110796.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14118986.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14119944.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14151520.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14169607.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14215476.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14226893.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14227929.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1424656.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14248179.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14248217.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1426440.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14291798.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14296537.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_143373.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14340905.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14342315.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14383356.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14399797.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14417147.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14485990.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14503064.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14519925.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14525872.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14530363.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14532305.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14566179.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14570127.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14588902.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14619449.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14621559.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14636525.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14641612.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14690040.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14692406.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14713134.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14754797.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1477608.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14776502.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14820944.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14823194.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14830141.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14848707.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14869777.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14883276.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14909933.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14918881.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14954004.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_14976970.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1500617.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15058314.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15081195.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15108206.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15127879.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15150679.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15197146.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15272626.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15311033.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15337964.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1534315.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15343190.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15351749.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15361067.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15429801.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15433316.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15458095.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15462493.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15466417.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15469459.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15483013.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15484575.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15496677.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15498699.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15512449.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1553426.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15570158.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1559786.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15651444.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15653607.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15671299.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15693625.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15729526.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15752571.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15784307.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15794224.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15799535.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15812721.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15848209.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1589886.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15933141.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_15990816.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16024594.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16052786.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16057513.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16084063.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16124846.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16148999.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_161824.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16211575.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16232328.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16259740.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16288109.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16288280.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16305966.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16322300.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16376025.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16385944.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16439151.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1648016.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16492100.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16526420.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16533492.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16538275.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16559108.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16567582.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16585392.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16591786.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16594897.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16615632.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16622790.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16636429.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16695193.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16728602.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16734586.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16765414.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1677103.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16780637.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16813100.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16824041.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16828779.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16830053.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16844918.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16863168.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16882248.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16902014.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_16968141.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17026096.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1705134.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17067471.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17114283.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17188430.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17201713.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17207698.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17244297.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17258244.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17316378.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17363681.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17363830.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17385604.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17389803.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17399121.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1741870.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17427197.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17428065.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17437121.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17448768.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17450738.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17510075.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_175233.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17526342.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17526951.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17561724.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17588102.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17600441.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17608684.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17664633.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17667401.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17682275.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17690552.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17702322.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17775115.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17796854.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1779888.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17825044.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_178362.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17861397.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17869141.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17871246.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17871635.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17902383.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17907423.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1791860.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17946627.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_17977606.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18012086.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18058034.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18096819.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18101749.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18152779.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18167782.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18174853.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18200194.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18270369.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18384206.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18403526.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18424991.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18437561.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18460889.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18468344.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18473098.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18498178.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18529397.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1854333.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18579411.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18615787.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18622081.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18633212.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18649259.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18679815.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18687003.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18688703.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18714040.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18766042.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18769667.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18775545.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18793535.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18806679.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18818880.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18829072.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18833065.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1886687.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18873605.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18888080.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18894040.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18926048.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18966100.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_18995850.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19037832.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19060950.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19103814.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19104128.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19153111.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19214465.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19226789.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1924056.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19259158.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19280895.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19282935.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19295001.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19316238.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1934096.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19345091.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19370670.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19401825.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19418971.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1942570.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19426501.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19429243.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_19436967.jpg,TRAIN,angry,Training_
