group_id,method,file_path,split_group,class
md5_17,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_96214713.jpg,TRAIN,angry
md5_17,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_68462643.jpg,TEST,angry
md5_18,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_16971260.jpg,TRAIN,angry
md5_18,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_32360815.jpg,TRAIN,angry
md5_18,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_74133311.jpg,VAL,angry
md5_19,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_17114283.jpg,TRAIN,angry
md5_19,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_98013078.jpg,TRAIN,angry
md5_20,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_17427197.jpg,TRAIN,angry
md5_20,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_20374852.jpg,TRAIN,angry
md5_21,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_17600441.jpg,TRAIN,angry
md5_21,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_94588620.jpg,TRAIN,angry
md5_22,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_17825044.jpg,TRAIN,angry
md5_22,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_68113119.jpg,TRAIN,angry
md5_23,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_1797833.jpg,TRAIN,angry
md5_23,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_89563369.jpg,TRAIN,angry
md5_23,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_82837122.jpg,TEST,angry
md5_24,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_18219531.jpg,TRAIN,angry
md5_24,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_67261513.jpg,TRAIN,angry
md5_24,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_77489078.jpg,TRAIN,angry
md5_24,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_98801026.jpg,TRAIN,angry
md5_24,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_73860110.jpg,TEST,angry
md5_25,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_1886687.jpg,TRAIN,angry
md5_25,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_19321092.jpg,TRAIN,angry
md5_26,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_18972883.jpg,TRAIN,angry
md5_26,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_35227874.jpg,TRAIN,angry
md5_26,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_90409313.jpg,TRAIN,angry
md5_26,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_8186613.jpg,TEST,angry
md5_27,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_19687209.jpg,TRAIN,angry
md5_27,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_24586863.jpg,VAL,angry
md5_28,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_20583731.jpg,TRAIN,angry
md5_28,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_17410266.jpg,VAL,angry
md5_29,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_20990451.jpg,TRAIN,angry
md5_29,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_96969017.jpg,TRAIN,angry
md5_30,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_22572626.jpg,TRAIN,angry
md5_30,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\sad\PublicTest_3136229.jpg,VAL,sad
md5_31,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_2269690.jpg,TRAIN,angry
md5_31,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_39889509.jpg,TRAIN,angry
md5_31,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_42046397.jpg,TRAIN,angry
md5_32,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_22833016.jpg,TRAIN,angry
md5_32,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_91228393.jpg,TRAIN,angry
md5_33,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_22892509.jpg,TRAIN,angry
md5_33,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_99064030.jpg,TRAIN,angry
md5_34,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_24061789.jpg,TRAIN,angry
md5_34,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_97531769.jpg,TRAIN,angry
md5_35,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_24439859.jpg,TRAIN,angry
md5_35,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_32342634.jpg,TRAIN,angry
md5_35,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_81289095.jpg,TRAIN,angry
md5_36,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_24511742.jpg,TRAIN,angry
md5_36,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_96661811.jpg,TRAIN,angry
md5_36,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\sad\Training_14784369.jpg,TRAIN,sad
md5_37,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_24816787.jpg,TRAIN,angry
md5_37,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_31094469.jpg,TRAIN,angry
md5_37,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_65539995.jpg,TRAIN,angry
md5_37,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_23120934.jpg,TEST,angry
md5_38,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_24963813.jpg,TRAIN,angry
md5_38,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_267631.jpg,TRAIN,angry
md5_39,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_25323093.jpg,TRAIN,angry
md5_39,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_34883128.jpg,VAL,angry
md5_40,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_25396368.jpg,TRAIN,angry
md5_40,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_37752731.jpg,TRAIN,angry
md5_40,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_67283529.jpg,TRAIN,angry
md5_40,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_92905981.jpg,TEST,angry
md5_40,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_31362928.jpg,VAL,angry
md5_41,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_25413066.jpg,TRAIN,angry
md5_41,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_50685265.jpg,TEST,angry
md5_42,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_256301.jpg,TRAIN,angry
md5_42,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_39027993.jpg,TRAIN,angry
md5_43,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_26149819.jpg,TRAIN,angry
md5_43,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_97272077.jpg,TRAIN,angry
md5_44,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_26591418.jpg,TRAIN,angry
md5_44,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_29702802.jpg,TRAIN,angry
md5_45,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_26681159.jpg,TRAIN,angry
md5_45,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_54377587.jpg,TRAIN,angry
md5_46,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_27131777.jpg,TRAIN,angry
md5_46,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_35668808.jpg,TRAIN,angry
md5_46,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_54232828.jpg,TRAIN,angry
md5_46,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_76182522.jpg,TRAIN,angry
md5_46,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_38456003.jpg,TEST,angry
md5_46,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_68156545.jpg,TEST,angry
md5_46,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_80645015.jpg,TEST,angry
md5_47,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_27263765.jpg,TRAIN,angry
md5_47,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_27785233.jpg,TRAIN,angry
md5_47,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_40416731.jpg,TRAIN,angry
md5_47,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_52823874.jpg,TRAIN,angry
md5_47,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_59389857.jpg,TEST,angry
md5_47,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_63906265.jpg,VAL,angry
md5_47,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_85586711.jpg,VAL,angry
md5_48,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_2745951.jpg,TRAIN,angry
md5_48,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_41308674.jpg,TEST,angry
md5_49,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_28028740.jpg,TRAIN,angry
md5_49,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_5886929.jpg,TRAIN,angry
md5_49,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_94017000.jpg,TRAIN,angry
md5_49,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_39402661.jpg,TEST,angry
md5_50,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_28095251.jpg,TRAIN,angry
md5_50,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_69123222.jpg,VAL,angry
md5_51,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_28239525.jpg,TRAIN,angry
md5_51,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_52746871.jpg,TRAIN,angry
md5_52,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_29066246.jpg,TRAIN,angry
md5_52,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_57438507.jpg,VAL,angry
md5_53,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_29384255.jpg,TRAIN,angry
md5_53,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\sad\Training_77595440.jpg,TRAIN,sad
md5_54,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_29520521.jpg,TRAIN,angry
md5_54,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_58403697.jpg,TRAIN,angry
md5_55,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_29902276.jpg,TRAIN,angry
md5_55,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_82332156.jpg,TRAIN,angry
md5_56,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_30714652.jpg,TRAIN,angry
md5_56,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_70968941.jpg,TRAIN,angry
md5_57,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_30943681.jpg,TRAIN,angry
md5_57,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_77809821.jpg,TRAIN,angry
md5_58,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_31224947.jpg,TRAIN,angry
md5_58,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_30068238.jpg,VAL,angry
md5_59,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_3261533.jpg,TRAIN,angry
md5_59,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_33324529.jpg,TRAIN,angry
md5_59,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_55389585.jpg,TRAIN,angry
md5_59,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_63008758.jpg,TRAIN,angry
md5_59,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_67027311.jpg,TRAIN,angry
md5_59,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_18274972.jpg,VAL,angry
md5_60,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_32846605.jpg,TRAIN,angry
md5_60,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_84528806.jpg,TRAIN,angry
md5_61,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_32866418.jpg,TRAIN,angry
md5_61,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_64706269.jpg,TRAIN,angry
md5_61,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_64781967.jpg,TRAIN,angry
md5_61,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_80018116.jpg,TRAIN,angry
md5_61,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_69194031.jpg,VAL,angry
md5_62,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_33414933.jpg,TRAIN,angry
md5_62,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_36414634.jpg,TRAIN,angry
