record_id,mode_a_max_abs_diff,mode_a_mean_abs_diff,mode_b_max_abs_diff,mode_b_mean_abs_diff,ref_argmax,mode_a_argmax,mode_b_argmax,mode_a_argmax_agree,mode_b_argmax_agree
SI_NEW_V21_0045,1.7881393432617188e-07,1.0182460149591825e-07,6.938893903907228e-17,4.163336342344337e-17,1,1,1,True,True
SI_NEW_V21_0058,5.960464477539063e-08,4.967053731282552e-08,8.326672684688674e-17,5.551115123125783e-17,1,1,1,True,True
SI_NEW_V21_0066,6.705522530292551e-08,3.1044085771943695e-08,7.632783294297951e-17,4.85722573273506e-17,0,0,0,True,True
SI_NEW_V21_0069,5.960464483090178e-08,3.47693761559853e-08,5.551115123125783e-17,3.700743415417188e-17,0,0,0,True,True
SI_NEW_V21_0074,1.4901161249358807e-08,4.9670537520992335e-09,5.551115123125783e-17,2.0816681711721685e-17,1,1,1,True,True
SI_NEW_V21_0091,1.4901161277114383e-08,4.967053789106668e-09,9.020562075079397e-17,5.782411586589357e-17,1,1,1,True,True
SI_NEW_V21_0093,1.4901161138336505e-08,4.967053740534411e-09,8.326672684688674e-17,4.625929269271486e-17,1,1,1,True,True
SI_NEW_V21_0094,1.7881393432617188e-07,1.0182460147741453e-07,6.938893903907228e-17,3.23815048849004e-17,1,1,1,True,True
SI_NEW_V21_0102,5.960464477539063e-08,1.986821495519875e-08,9.020562075079397e-17,3.0068540250264654e-17,1,1,1,True,True
SI_NEW_V21_0105,5.96046448031462e-08,4.2219956692772044e-08,9.71445146547012e-17,4.163336342344337e-17,1,1,1,True,True
SI_NEW_V21_0107,2.0861625676937834e-07,1.3907750450135406e-07,7.632783294297951e-17,6.245004513516506e-17,0,0,0,True,True
SI_NEW_V21_0118,2.384185791015625e-07,1.4528632161457203e-07,7.632783294297951e-17,2.544261098099317e-17,1,1,1,True,True
SI_NEW_V21_0133,2.2351741721382545e-08,7.450580578420111e-09,6.938893903907228e-17,2.7755575615628914e-17,1,1,1,True,True
SI_NEW_V21_0136,5.960464477539063e-08,3.1664967511483656e-08,6.938893903907228e-17,2.544261098099317e-17,0,0,0,True,True
SI_NEW_V21_0138,7.450580602474943e-08,2.980232243395461e-08,8.326672684688674e-17,4.625929269271486e-17,1,1,1,True,True
SI_NEW_V21_0142,1.4901161193847656e-07,1.0679165521794894e-07,1.3877787807814457e-17,4.625929269271485e-18,0,0,0,True,True
SI_NEW_V21_0143,1.303851596481942e-08,8.071462330681381e-09,1.1102230246251565e-16,7.054542135639015e-17,0,0,0,True,True
SI_NEW_V21_0157,1.4901161193847656e-07,9.06487306271316e-08,9.367506770274758e-17,3.122502256758253e-17,1,1,1,True,True
SI_NEW_V21_0158,2.0861625676937834e-07,1.3907750449441517e-07,5.551115123125783e-17,1.850371707708594e-17,1,1,1,True,True
SI_NEW_V21_0164,2.6077032068416717e-08,8.692344041309289e-09,5.551115123125783e-17,2.544261098099317e-17,1,1,1,True,True
SI_NEW_V21_0174,2.980232238769531e-07,1.726051171690076e-07,2.0816681711721685e-17,6.938893903907228e-18,0,0,0,True,True
SI_NEW_V21_0176,5.960464477539063e-08,4.346172015566122e-08,2.0816681711721685e-17,6.938893903907228e-18,1,1,1,True,True
SI_NEW_V21_0177,5.960464477539063e-08,3.60111395517985e-08,0.0,0.0,0,0,0,True,True
SI_NEW_V21_0188,2.384185791015625e-07,1.4404455819794215e-07,8.326672684688674e-17,4.625929269271486e-17,1,1,1,True,True
SI_NEW_V21_0196,5.960464477539063e-08,3.973642987801599e-08,5.551115123125783e-17,2.7755575615628914e-17,0,0,0,True,True
SI_NEW_V21_0216,5.960464477539063e-08,2.235174181852706e-08,8.326672684688674e-17,2.7755575615628914e-17,1,1,1,True,True
SI_NEW_V21_0224,4.470348358154297e-07,3.3279260000518285e-07,8.326672684688674e-17,4.625929269271486e-17,1,1,1,True,True
SI_NEW_V21_0225,2.3841857915707365e-07,1.6142924629906444e-07,5.551115123125783e-17,3.23815048849004e-17,1,1,1,True,True
SI_NEW_V21_0229,1.4901161193847656e-07,7.450580595073457e-08,5.551115123125783e-17,1.850371707708594e-17,1,1,1,True,True
SI_NEW_V21_0232,1.937150955477751e-07,1.1424223582875055e-07,2.7755575615628914e-17,9.25185853854297e-18,1,1,1,True,True
SI_NEW_V21_0235,1.1920928955078125e-07,6.208817162715412e-08,4.163336342344337e-17,1.3877787807814457e-17,1,1,1,True,True
SI_NEW_V21_0238,5.960464483090178e-08,2.980232240619903e-08,5.551115123125783e-17,1.850371707708594e-17,1,1,1,True,True
SI_NEW_V21_0239,1.4901161193847656e-08,4.9670537497862694e-09,5.551115123125783e-17,1.850371707708594e-17,1,1,1,True,True
